family,stage_hint,actual_offset_s,target_offset_s,rep,run,snap_name,snap_dir,psscan_count,hidden_process_count
WannaCry,0,15,15,1,1,WannaCry_T015_rep01,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T015_rep01,0,0
WannaCry,0,15,15,2,7,WannaCry_T015_rep02,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T015_rep02,0,0
WannaCry,0,15,15,3,13,WannaCry_T015_rep03,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T015_rep03,0,0
WannaCry,0,15,15,4,19,WannaCry_T015_rep04,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T015_rep04,0,0
WannaCry,0,15,15,5,25,WannaCry_T015_rep05,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T015_rep05,0,0
WannaCry,1,30,30,1,2,WannaCry_T030_rep01,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T030_rep01,0,0
WannaCry,1,30,30,2,8,WannaCry_T030_rep02,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T030_rep02,0,0
WannaCry,1,30,30,3,14,WannaCry_T030_rep03,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T030_rep03,0,0
WannaCry,1,30,30,4,20,WannaCry_T030_rep04,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T030_rep04,0,0
WannaCry,1,30,30,5,26,WannaCry_T030_rep05,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T030_rep05,0,0
WannaCry,2,60,60,1,3,WannaCry_T060_rep01,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T060_rep01,0,0
WannaCry,2,60,60,2,9,WannaCry_T060_rep02,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T060_rep02,0,0
WannaCry,2,60,60,3,15,WannaCry_T060_rep03,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T060_rep03,0,0
WannaCry,2,60,60,4,21,WannaCry_T060_rep04,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T060_rep04,0,0
WannaCry,2,60,60,5,27,WannaCry_T060_rep05,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T060_rep05,0,0
WannaCry,2,120,120,1,4,WannaCry_T120_rep01,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T120_rep01,0,0
WannaCry,2,120,120,2,10,WannaCry_T120_rep02,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T120_rep02,0,0
WannaCry,2,120,120,3,16,WannaCry_T120_rep03,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T120_rep03,0,0
WannaCry,2,120,120,4,22,WannaCry_T120_rep04,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T120_rep04,0,0
WannaCry,2,120,120,5,28,WannaCry_T120_rep05,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T120_rep05,0,0
WannaCry,3,180,180,1,5,WannaCry_T180_rep01,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T180_rep01,0,0
WannaCry,3,180,180,2,11,WannaCry_T180_rep02,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T180_rep02,0,0
WannaCry,3,180,180,3,17,WannaCry_T180_rep03,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T180_rep03,0,0
WannaCry,3,180,180,4,23,WannaCry_T180_rep04,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T180_rep04,0,0
WannaCry,3,180,180,5,29,WannaCry_T180_rep05,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T180_rep05,0,0
WannaCry,3,240,240,1,6,WannaCry_T240_rep01,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T240_rep01,0,0
WannaCry,3,240,240,2,12,WannaCry_T240_rep02,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T240_rep02,0,0
WannaCry,3,240,240,3,18,WannaCry_T240_rep03,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T240_rep03,0,0
WannaCry,3,240,240,4,24,WannaCry_T240_rep04,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T240_rep04,0,0
WannaCry,3,240,240,5,30,WannaCry_T240_rep05,/mnt/d/Patrick/VMSnapshots/WannaCry_20260326_193131/T240_rep05,0,0
